Date,Open,High,Low,Close,Adj Close,Volume
2021-11-16,6.450000,6.520000,6.360000,6.360000,6.360000,87100
2021-11-17,6.370000,6.630000,6.370000,6.500000,6.500000,42300
2021-11-18,6.750000,6.750000,6.390000,6.600000,6.600000,55800
2021-11-19,6.680000,6.960000,6.650000,6.810000,6.810000,45300
2021-11-22,6.840000,6.840000,6.680000,6.680000,6.680000,107000
2021-11-23,6.500000,6.910000,6.500000,6.730000,6.730000,41300
2021-11-24,6.580000,6.580000,6.400000,6.460000,6.460000,78100
2021-11-26,6.410000,6.410000,6.190000,6.190000,6.190000,34600
2021-11-29,6.060000,6.440000,6.060000,6.400000,6.400000,27900
2021-11-30,6.480000,6.480000,6.240000,6.310000,6.310000,74800
2021-12-01,6.120000,6.360000,6.120000,6.260000,6.260000,47000
2021-12-02,5.940000,6.250000,5.940000,6.210000,6.210000,43600
2021-12-03,6.260000,6.260000,6.090000,6.140000,6.140000,86700
2021-12-06,5.970000,6.280000,5.970000,6.160000,6.160000,137500
2021-12-07,5.990000,6.300000,5.990000,6.280000,6.280000,63600
2021-12-08,6.450000,6.550000,6.450000,6.550000,6.550000,40200
2021-12-09,6.490000,6.540000,6.350000,6.370000,6.370000,13300
2021-12-10,6.600000,6.600000,6.320000,6.430000,6.430000,27100
2021-12-13,6.410000,6.410000,6.290000,6.390000,6.390000,34200
2021-12-14,6.290000,6.320000,6.110000,6.160000,6.160000,28200
2021-12-15,6.030000,6.300000,6.010000,6.300000,6.300000,41600
2021-12-16,6.410000,6.410000,6.130000,6.240000,6.240000,262800
2021-12-17,6.060000,6.230000,6.060000,6.120000,6.120000,27100
2021-12-20,6.120000,6.120000,5.960000,6.000000,6.000000,43400
2021-12-21,6.150000,6.150000,6.010000,6.010000,6.010000,44400
2021-12-22,6.320000,6.340000,6.150000,6.180000,6.180000,34400
2021-12-23,6.390000,6.390000,6.010000,6.220000,6.220000,50400
2021-12-27,6.250000,6.310000,6.120000,6.180000,6.180000,51700
2021-12-28,6.200000,6.220000,6.170000,6.200000,6.200000,33800
2021-12-29,5.970000,6.340000,5.970000,6.200000,6.200000,15400
2021-12-30,6.170000,6.190000,6.150000,6.190000,6.190000,51600
2021-12-31,5.960000,6.200000,5.960000,6.200000,6.200000,25900
2022-01-03,5.860000,6.190000,5.860000,6.180000,6.180000,54000
2022-01-04,6.270000,6.470000,6.270000,6.410000,6.410000,98300
2022-01-05,6.180000,6.450000,6.180000,6.270000,6.270000,26900
2022-01-06,6.150000,6.260000,6.150000,6.210000,6.210000,45800
2022-01-07,6.140000,6.140000,6.030000,6.060000,6.060000,32400
2022-01-10,5.940000,6.050000,5.890000,6.010000,6.010000,54000
2022-01-11,6.000000,6.080000,5.810000,6.080000,6.080000,122600
2022-01-12,6.120000,6.250000,6.120000,6.250000,6.250000,73600
2022-01-13,6.110000,6.350000,6.110000,6.220000,6.220000,71200
2022-01-14,6.220000,6.300000,6.210000,6.300000,6.300000,40100
2022-01-18,6.200000,6.280000,6.150000,6.160000,6.160000,44400
2022-01-19,6.000000,6.200000,6.000000,6.120000,6.120000,61000
2022-01-20,6.050000,6.110000,5.950000,5.950000,5.950000,73700
2022-01-21,5.890000,5.890000,5.670000,5.680000,5.680000,61400
2022-01-24,5.540000,5.810000,5.540000,5.750000,5.750000,173400
