Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,39400.000000,39400.000000,38550.000000,38750.000000,34936.312500,7847664
2019-01-03,38300.000000,38550.000000,37450.000000,37600.000000,33899.500000,12471493
2019-01-04,37450.000000,37600.000000,36850.000000,37450.000000,33764.265625,14108958
2019-01-07,38000.000000,38900.000000,37800.000000,38750.000000,34936.312500,12748997
2019-01-08,38000.000000,39200.000000,37950.000000,38100.000000,34350.289063,12756554
2019-01-09,38650.000000,39600.000000,38300.000000,39600.000000,35702.664063,17452708
2019-01-10,40000.000000,40150.000000,39600.000000,39800.000000,35882.976563,14731699
2019-01-11,40350.000000,40550.000000,39950.000000,40500.000000,36514.089844,11661063
2019-01-14,40450.000000,40700.000000,39850.000000,40050.000000,36108.375000,11984996
2019-01-15,40050.000000,41100.000000,39850.000000,41100.000000,37055.042969,11492756
2019-01-16,41150.000000,41450.000000,40700.000000,41450.000000,37370.593750,8491595
2019-01-17,41700.000000,42100.000000,41450.000000,41950.000000,37821.378906,11736903
2019-01-18,42000.000000,42400.000000,41950.000000,42300.000000,38136.925781,11029256
2019-01-21,42700.000000,42750.000000,41900.000000,42750.000000,38542.648438,11355701
2019-01-22,42750.000000,42850.000000,41850.000000,42150.000000,38001.695313,9964356
2019-01-23,41350.000000,42250.000000,41350.000000,42000.000000,37866.457031,11071079
2019-01-24,43050.000000,43100.000000,42350.000000,43050.000000,38813.121094,14747623
2019-01-25,44300.000000,44750.000000,43750.000000,44750.000000,40345.808594,22789395
2019-01-28,45000.000000,45500.000000,44600.000000,45050.000000,40616.281250,17998914
2019-01-29,45050.000000,45500.000000,44350.000000,45500.000000,41021.996094,16215017
2019-01-30,44800.000000,46400.000000,44800.000000,46400.000000,41833.425781,17505980
2019-01-31,46650.000000,47050.000000,46150.000000,46150.000000,41608.027344,21621145
2019-02-01,46650.000000,46950.000000,46250.000000,46350.000000,41788.339844,13832454
2019-02-07,46800.000000,47100.000000,46200.000000,46200.000000,41653.105469,15872001
2019-02-08,45700.000000,45700.000000,44650.000000,44800.000000,40390.886719,12689196
2019-02-11,44500.000000,45000.000000,44250.000000,45000.000000,40571.210938,11125044
2019-02-12,44650.000000,46250.000000,44650.000000,46050.000000,41517.871094,13184367
2019-02-13,46400.000000,46700.000000,46000.000000,46200.000000,41653.105469,11299738
2019-02-14,46600.000000,47500.000000,46150.000000,47500.000000,42825.164063,17259341
2019-02-15,46750.000000,46850.000000,45650.000000,46050.000000,41517.871094,10554643
2019-02-18,46500.000000,46850.000000,45850.000000,46200.000000,41653.105469,8183728
2019-02-19,45850.000000,46150.000000,45450.000000,45950.000000,41427.703125,6741395
2019-02-20,46750.000000,47100.000000,46500.000000,46900.000000,42284.210938,11506720
2019-02-21,46500.000000,47200.000000,46200.000000,46950.000000,42329.292969,8694009
2019-02-22,46500.000000,47150.000000,46450.000000,47150.000000,42509.609375,6895772
2019-02-25,47400.000000,47550.000000,47050.000000,47350.000000,42689.925781,7484716
2019-02-26,47350.000000,47450.000000,46500.000000,46750.000000,42148.976563,7985547
2019-02-27,47000.000000,47250.000000,46750.000000,46750.000000,42148.976563,8045211
2019-02-28,46400.000000,46500.000000,45100.000000,45100.000000,40661.367188,23569321
2019-03-04,46000.000000,46100.000000,44800.000000,44850.000000,40435.968750,12926539
2019-03-05,44600.000000,45100.000000,44150.000000,44250.000000,39895.027344,10612405
2019-03-06,44000.000000,44300.000000,43700.000000,44000.000000,39669.628906,10202544
2019-03-07,43400.000000,44950.000000,43400.000000,44450.000000,40075.335938,11049749
2019-03-08,44450.000000,44800.000000,43800.000000,43800.000000,39489.300781,7729069
2019-03-11,44400.000000,44450.000000,43650.000000,43650.000000,39354.074219,10717408
2019-03-12,44300.000000,44950.000000,44150.000000,44650.000000,40255.656250,11431977
2019-03-13,44250.000000,44450.000000,43700.000000,43850.000000,39534.386719,8108343
2019-03-14,43700.000000,44300.000000,43550.000000,43850.000000,39534.386719,18039161
2019-03-15,43800.000000,44250.000000,43700.000000,44200.000000,39849.937500,16814163
2019-03-18,43950.000000,44150.000000,43450.000000,43700.000000,39399.148438,8188876
2019-03-19,43750.000000,43900.000000,43550.000000,43900.000000,39579.472656,7609563
2019-03-20,43800.000000,44200.000000,43100.000000,44050.000000,39714.691406,9846242
2019-03-21,44600.000000,46250.000000,44050.000000,45850.000000,41337.550781,21138016
2019-03-22,46850.000000,47000.000000,46250.000000,46550.000000,41968.660156,12535911
2019-03-25,45300.000000,45650.000000,44800.000000,45500.000000,41021.996094,8699728
2019-03-26,45500.000000,45700.000000,44900.000000,45250.000000,40796.601563,9729811
2019-03-27,44750.000000,45600.000000,44250.000000,45350.000000,40886.765625,9568081
2019-03-28,44950.000000,45200.000000,44300.000000,44850.000000,40754.097656,6821306
2019-03-29,44500.000000,44900.000000,44200.000000,44650.000000,40572.355469,11491713
2019-04-01,45200.000000,45450.000000,44850.000000,45050.000000,40935.824219,7362129
2019-04-02,45550.000000,46100.000000,45350.000000,45750.000000,41571.902344,9480688
2019-04-03,46750.000000,46750.000000,45800.000000,46600.000000,42344.273438,12436570
2019-04-04,46150.000000,47100.000000,46150.000000,46950.000000,42662.316406,12650168
2019-04-05,46950.000000,47550.000000,46600.000000,46850.000000,42571.449219,8546339
2019-04-08,47250.000000,47250.000000,46150.000000,46650.000000,42389.710938,8507909
2019-04-09,46700.000000,46950.000000,46200.000000,46650.000000,42389.710938,6878761
2019-04-10,46400.000000,46700.000000,46050.000000,46700.000000,42435.144531,11883995
2019-04-11,46700.000000,46800.000000,46150.000000,46250.000000,42026.234375,13697399
2019-04-12,46050.000000,46900.000000,46000.000000,46850.000000,42571.449219,7668936
2019-04-15,47150.000000,47500.000000,47000.000000,47050.000000,42753.167969,8733019
2019-04-16,47400.000000,47400.000000,46800.000000,47250.000000,42934.921875,7730881
2019-04-17,47300.000000,47600.000000,47000.000000,47050.000000,42753.167969,5513658
2019-04-18,47200.000000,47250.000000,45500.000000,45600.000000,41435.601563,12808747
2019-04-19,45750.000000,46000.000000,45250.000000,45300.000000,41162.996094,8479710
2019-04-22,45400.000000,45900.000000,45100.000000,45350.000000,41208.429688,6006957
2019-04-23,45050.000000,45500.000000,45000.000000,45200.000000,41072.128906,6920566
2019-04-24,45400.000000,45650.000000,44150.000000,44750.000000,40663.222656,13299267
2019-04-25,44250.000000,45000.000000,44100.000000,44650.000000,40572.355469,10868965
2019-04-26,44200.000000,45000.000000,43800.000000,44850.000000,40754.097656,9739982
2019-04-29,45150.000000,46150.000000,45100.000000,46150.000000,41935.371094,8777517
2019-04-30,46000.000000,46300.000000,45350.000000,45850.000000,41662.769531,11121273
2019-05-02,45500.000000,46150.000000,45400.000000,45900.000000,41708.203125,8625126
2019-05-03,45900.000000,46050.000000,45300.000000,45300.000000,41162.996094,6562916
2019-05-07,45250.000000,45300.000000,44400.000000,44850.000000,40754.097656,12014907
2019-05-08,44300.000000,44850.000000,44200.000000,44250.000000,40208.890625,10398754
2019-05-09,43900.000000,44250.000000,42450.000000,42450.000000,38573.269531,23029718
2019-05-10,42600.000000,43450.000000,42450.000000,42900.000000,38982.167969,14579512
2019-05-13,42500.000000,43200.000000,42350.000000,42650.000000,38755.011719,7635079
2019-05-14,41300.000000,43100.000000,41300.000000,42650.000000,38755.011719,11563730
2019-05-15,42700.000000,43050.000000,42550.000000,42550.000000,38664.140625,7670185
2019-05-16,42350.000000,42400.000000,41350.000000,41550.000000,37755.464844,13687828
2019-05-17,41950.000000,42050.000000,40850.000000,41200.000000,37437.425781,13357951
2019-05-20,41650.000000,42100.000000,41550.000000,42000.000000,38164.367188,15752397
2019-05-21,42600.000000,43950.000000,42350.000000,43150.000000,39209.347656,18812133
2019-05-22,43700.000000,43800.000000,42400.000000,43500.000000,39527.386719,11033339
2019-05-23,43900.000000,44000.000000,43250.000000,43850.000000,39845.421875,12259006
2019-05-24,43800.000000,43800.000000,42400.000000,42700.000000,38800.445313,13966305
2019-05-27,42500.000000,43000.000000,42350.000000,42650.000000,38755.011719,8066669
2019-05-28,42550.000000,42950.000000,42150.000000,42550.000000,38664.140625,24506881
